task_id,sample_group,split,reads_text,closed_outcome,writes_content,physical,live_human,same_rules,errors_lose_money,loss_recoverable,outcome_visible,speed_value,digital_input,licensed_signoff,time_per_item,volume,money_link,buyer,sell_model,labeler_a,labeler_b
150,likely_good,dev,no,no,no,yes,no,no,yes,no,yes,no,no,no,2,0,1,real_estate,other,no|no|no|yes|no|no|yes|no|yes|no|no|no|2|0|1|real_estate|other,no|no|no|yes|no|no|yes|no|yes|no|no|no|2|0|2|real_estate|other
155,likely_good,heldout,no,no,yes,no,no,no,no,no,yes,no,yes,yes,3,0,1,government,other,no|no|yes|no|no|no|no|no|yes|no|yes|yes|3|0|1|government|other,no|no|yes|no|no|no|no|no|yes|no|yes|yes|3|0|1|government|other
220,likely_good,dev,no,no,yes,no,no,no,no,no,no,no,yes,no,3,0,1,government,other,no|no|yes|no|no|no|no|no|no|no|yes|no|3|0|1|government|other,no|no|yes|no|no|no|no|no|no|no|yes|no|3|0|1|government|other
317,random,heldout,no,no,no,no,yes,no,no,no,yes,no,no,no,1,1,1,healthcare_admin,other,no|no|no|no|yes|no|no|no|yes|no|no|no|1|1|1|healthcare_admin|other,no|no|no|no|yes|no|no|no|yes|no|no|no|1|1|1|healthcare_admin|other
411,random,heldout,no,no,no,yes,yes,no,no,no,no,no,no,no,1,0,1,healthcare_admin,not_outsourced,no|no|no|yes|yes|no|no|no|no|no|no|no|1|0|1|healthcare_admin|not_outsourced,no|no|no|yes|yes|no|no|no|no|no|no|no|1|0|1|healthcare_admin|not_outsourced
416,anchor_low,heldout,no,no,no,yes,no,no,no,no,no,no,no,yes,1,1,1,healthcare_admin,not_outsourced,no|no|no|yes|no|no|no|no|yes|no|no|yes|1|1|1|healthcare_admin|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|yes|1|1|1|healthcare_admin|not_outsourced
636,anchor_low,dev,no,no,no,yes,no,no,no,no,yes,no,no,no,1,1,1,other,per_item,no|no|no|yes|no|no|no|no|yes|no|no|no|1|1|1|other|per_item,no|no|no|yes|yes|no|no|no|yes|no|no|no|1|1|1|other|per_item
637,likely_bad,dev,no,no,no,yes,yes,no,no,no,yes,no,no,no,1,1,1,other,not_outsourced,no|no|no|yes|yes|no|no|no|yes|no|no|no|1|1|1|other|not_outsourced,no|no|no|yes|yes|no|no|no|yes|no|no|no|1|1|1|other|not_outsourced
745,random,dev,no,no,no,yes,yes,no,yes,yes,yes,yes,no,no,0,2,2,healthcare_admin,not_outsourced,no|no|no|yes|yes|no|yes|yes|yes|yes|no|no|0|2|2|healthcare_admin|not_outsourced,no|no|no|yes|yes|no|yes|yes|yes|no|no|no|0|2|2|healthcare_admin|not_outsourced
1160,random,dev,no,no,no,no,yes,no,no,no,no,no,no,no,3,0,1,logistics_supply_chain,not_outsourced,no|no|no|no|yes|no|no|no|no|no|no|no|3|0|1|logistics_supply_chain|not_outsourced,no|no|no|no|yes|no|no|no|no|no|no|no|2|0|1|logistics_supply_chain|not_outsourced
1387,random,dev,no,no,yes,no,no,no,no,no,no,no,yes,no,3,0,1,government,other,no|no|yes|no|no|no|no|no|no|no|yes|no|3|0|1|government|other,no|no|yes|no|no|no|no|no|yes|no|yes|no|3|0|1|government|other
1529,likely_good,dev,no,no,yes,no,no,no,no,no,yes,no,yes,no,3,0,1,government,other,no|no|yes|no|no|no|no|no|yes|no|yes|no|3|0|1|government|other,yes|no|no|no|no|no|no|no|yes|no|yes|no|3|0|1|government|other
1782,likely_good,heldout,no,no,yes,no,no,no,no,no,yes,no,yes,no,1,1,1,media_publishing,other,no|no|yes|no|no|no|no|no|yes|no|yes|no|1|1|1|media_publishing|other,no|no|yes|no|no|no|no|no|yes|no|yes|no|1|1|1|media_publishing|other
1816,random,heldout,no,no,no,yes,no,no,no,no,yes,yes,no,yes,1,2,1,healthcare_admin,per_item,no|no|no|yes|no|no|no|no|yes|yes|yes|yes|1|2|1|healthcare_admin|per_item,no|no|no|yes|no|no|no|no|yes|yes|no|yes|1|2|1|healthcare_admin|per_item
1996,likely_bad,dev,no,no,no,no,yes,no,no,no,no,no,no,no,1,1,1,healthcare_admin,not_outsourced,no|no|no|no|yes|no|no|no|no|no|no|no|1|1|1|healthcare_admin|not_outsourced,no|no|no|no|yes|no|no|no|no|no|no|no|1|1|1|healthcare_admin|not_outsourced
2097,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,0,1,0,government,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|0|1|0|government|not_outsourced,no|no|no|yes|yes|no|no|no|no|no|no|no|0|1|0|government|not_outsourced
2170,anchor_low,dev,no,no,no,yes,no,no,no,no,yes,yes,no,no,1,2,1,other,not_outsourced,no|no|no|yes|no|no|no|no|yes|yes|no|no|1|2|1|other|not_outsourced,no|no|no|yes|no|no|no|no|yes|yes|no|no|1|2|1|other|not_outsourced
2177,likely_bad,heldout,no,no,no,yes,no,no,no,no,no,no,no,no,0,3,1,other,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|0|3|1|other|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|1|other|not_outsourced
2358,likely_bad,dev,no,no,no,yes,yes,no,no,no,no,no,no,no,1,1,0,other,other,no|no|no|yes|yes|no|no|no|no|no|no|no|1|1|0|other|not_outsourced,no|no|no|yes|yes|no|no|no|no|no|no|no|1|1|0|other|other
2363,random,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,0,other,per_item,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|0|other|per_item,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|0|other|per_item
2416,likely_bad,dev,no,no,no,yes,no,no,yes,no,yes,no,no,no,1,1,2,other,not_outsourced,no|no|no|yes|no|no|yes|no|yes|no|no|no|0|2|2|other|not_outsourced,no|no|no|yes|no|no|yes|yes|yes|no|no|no|1|1|2|other|not_outsourced
2509,anchor_high,heldout,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,1,2,2,accounting_finance_ops,per_item,yes|yes|no|no|no|yes|yes|yes|yes|yes|yes|no|1|2|2|accounting_finance_ops|per_item,yes|yes|no|no|no|yes|yes|yes|yes|yes|yes|no|1|2|2|accounting_finance_ops|per_item
2519,random,heldout,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,no,1,2,2,accounting_finance_ops,per_item,yes|yes|no|no|no|yes|yes|yes|yes|no|yes|no|1|2|2|accounting_finance_ops|per_item,yes|yes|no|no|no|yes|yes|yes|yes|no|yes|no|1|2|2|accounting_finance_ops|per_item
2542,anchor_high,dev,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,1,2,2,accounting_finance_ops,per_item,yes|yes|no|no|no|yes|yes|yes|yes|yes|yes|no|1|2|2|accounting_finance_ops|per_item,yes|yes|no|no|no|yes|yes|yes|yes|yes|yes|no|1|2|2|accounting_finance_ops|per_item
2580,random,dev,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,1,2,1,customer_support,per_item,yes|yes|no|no|no|yes|no|no|yes|yes|yes|no|1|2|1|customer_support|per_item,yes|yes|no|no|no|yes|no|no|yes|yes|yes|no|1|2|1|customer_support|per_item
2686,likely_good,dev,no,no,yes,no,no,no,no,no,no,no,yes,no,2,0,1,logistics_supply_chain,subscription,no|no|yes|no|no|no|no|no|no|no|yes|no|2|0|1|logistics_supply_chain|subscription,no|no|yes|no|no|no|no|no|no|no|yes|no|1|0|1|logistics_supply_chain|subscription
