rank,task_id,onet_code,occupation,task,passes_filters,dropped_by,opportunity,fit,money,scale,scale_source,labor_value,reads_text,closed_outcome,writes_content,physical,live_human,same_rules,errors_lose_money,loss_recoverable,recoverable_loss,outcome_visible,speed_value,digital_input,licensed_signoff,time_per_item,volume,money_link,buyer,buyer_conf,sell_model,sell_model_conf,min_score_conf,uncertain,model_reported,request_id
1,8861,11-3031.01,Treasurers and Controllers,"Receive, record, and authorize requests for disbursements in accordance with company policies and procedures.",1,,0.8088,0.8425,0.8117,0.9644,labor_value_percentile,2829674751,0.8300,0.7300,0.1000,0.0067,0.1000,0.8700,0.9600,0.6100,0.5856,0.8800,0.7900,0.9800,0.0800,0.6300,1.4900,2.7900,accounting_finance_ops,1,not_outsourced,0.7900,0.4900,0,jev-1.13.0,req_01a0d5e095f4754bb961eb38adb92e74
2,2587,43-4051.00,Customer Service Representatives,Review insurance policy terms to determine whether a particular loss is covered by insurance.,1,,0.7954,0.8615,0.7111,0.9894,labor_value_percentile,5243432012,0.9400,0.9400,0.1000,0,0.1300,0.8300,0.9200,0.4000,0.3680,0.8600,0.8500,0.9900,0.3500,0.9000,1.0300,2.5700,insurance,0.9400,per_item,0.5100,0.4200,0,jev-1.13.0,req_01a0d5dbdce07773970ba9a89832e5b1
3,2486,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks","Check figures, postings, and documents for correct entry, mathematical accuracy, and proper codes.",1,,0.7588,0.8365,0.7123,0.9806,labor_value_percentile,3970069822,0.9200,0.5600,0.0600,0.0233,0.0400,0.8400,0.9500,0.6500,0.6175,0.8500,0.7000,0.9300,0.0600,0.4500,2.0300,2.0400,accounting_finance_ops,1,per_item,0.5100,0.7000,0,jev-1.13.0,req_01a0d5dbc4a671aea0b57012d7fc9a96
4,21417,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Examine claims forms and other records to determine insurance coverage.,1,,0.7542,0.8110,0.8149,0.8925,labor_value_percentile,1187914407,0.9500,0.8000,0.1200,0.0100,0.0800,0.7200,0.9500,0.6100,0.5795,0.8700,0.8300,0.8400,0.1300,1.3200,1.7600,2.8500,insurance,1,per_item,0.6700,0.7500,0,jev-1.13.0,req_01a0d5d9c59e72be8e887b0fa0c50d5c
5,21318,11-3031.00,Financial Managers,"Approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real estate, or personal loans.",1,,0.7492,0.8040,0.7624,0.9511,labor_value_percentile,2370423350,0.8000,0.9500,0.0900,0,0.2300,0.4700,0.9500,0.3500,0.3325,0.8800,0.8400,1,0.1400,1.1700,1.2600,2.9900,banking_fintech,0.9500,not_outsourced,0.8400,0.5600,0,jev-1.13.0,req_01a0d5ea4dc2787d9fa90b1915636b3c
6,21317,11-3031.00,Financial Managers,"Examine, evaluate, or process loan applications.",1,,0.7426,0.8005,0.7561,0.9437,labor_value_percentile,2160384976,0.9200,0.8300,0.1800,0,0.1500,0.6000,0.9300,0.3900,0.3627,0.8600,0.8700,0.9700,0.1200,1.3800,0.5600,2.9200,banking_fintech,0.9600,per_item,0.6800,0.4400,0,jev-1.13.0,req_01a0d5ea4d7e7e8f877386dc0e6260e1
7,21635,13-2072.00,Loan Officers,Assist in selection of financial award candidates using electronic databases to certify loan eligibility.,1,,0.7379,0.8535,0.7458,0.8257,labor_value_percentile,701278923,0.9300,0.8100,0.1200,0,0.0900,0.8100,0.9000,0.5500,0.4950,0.8000,0.8500,1,0.1700,0.8400,1.5200,2.6800,banking_fintech,0.9200,per_item,0.7000,0.4600,0,jev-1.13.0,req_01a0d5ea9f8c7ac7a3d5de372f38cc86
8,1025,11-3061.00,Purchasing Managers,Review purchase order claims and contracts for conformance to company policy.,1,,0.7337,0.8400,0.7816,0.8209,labor_value_percentile,683027649,0.9400,0.7800,0.1300,0,0.0900,0.8400,0.9500,0.6700,0.6365,0.8400,0.7700,0.9800,0.0700,1.2300,1.0900,2.5400,logistics_supply_chain,0.9900,not_outsourced,0.5500,0.5400,0,jev-1.13.0,req_01a0d5dab8557ebd8203530d505e1dc4
9,3407,13-2072.00,Loan Officers,"Approve loans within specified limits, and refer loan applications outside those limits to management for approval.",1,,0.7335,0.8340,0.7645,0.8342,labor_value_percentile,740347236,0.8200,0.9200,0.0800,0,0.1800,0.7600,0.9400,0.3400,0.3196,0.9000,0.8700,0.9800,0.2000,1.0200,1.6200,2.9900,banking_fintech,1,not_outsourced,0.6500,0.6100,0,jev-1.13.0,req_01a0d5dc70cb73d4919bba88daa1c5e9
10,1212,13-1121.00,"Meeting, Convention, and Event Planners",Review event bills for accuracy and approve payment.,1,,0.7303,0.8605,0.7654,0.7839,labor_value_percentile,559059247,0.9100,0.8900,0.0900,0.0033,0.0900,0.6700,0.9500,0.6200,0.5890,0.9000,0.7800,0.9700,0.0800,0.8400,0.6000,2.3900,other,0.5500,not_outsourced,0.7900,0.4000,0,jev-1.13.0,req_01a0d5dad25179be996fe9381a6c12e6
11,2502,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Compare computer printouts to manually maintained journals to determine if they match.,1,,0.7264,0.8460,0.6505,0.9538,labor_value_percentile,2437229722,0.9300,0.9600,0.0800,0.0600,0.0300,0.8100,0.9100,0.6600,0.6006,0.7900,0.6500,0.3700,0.0600,0.6900,1.4200,1.7500,accounting_finance_ops,1,other,0.3300,0.4300,0,jev-1.13.0,req_01a0d5dbc8c774058827a90e0b2c7ef6
12,1261,13-2053.00,Insurance Underwriters,Decline excessive risks.,1,,0.7209,0.8210,0.7060,0.9063,labor_value_percentile,1348673277,0.8900,0.9100,0.1200,0,0.1000,0.5100,0.9300,0.2400,0.2232,0.8500,0.8000,0.9600,0.2700,0.8400,1.6500,2.8800,insurance,1,not_outsourced,0.6200,0.6300,0,jev-1.13.0,req_01a0d5dad9a47243bb22138a6a90e36c
13,21428,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Verify and analyze data used in settling claims to ensure that claims are valid and that settlements are made according to company practices and procedures.,1,,0.7184,0.7775,0.8150,0.8873,labor_value_percentile,1129297403,0.9300,0.5900,0.1200,0.0100,0.1100,0.7000,0.9500,0.6200,0.5890,0.8700,0.7900,1,0.1000,1.3800,1.7800,2.8300,insurance,1,per_item,0.5000,0.7700,0,jev-1.13.0,req_01a0d5ea68cf7d729ea970dc40ab1337
14,23205,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Review all securities transactions to ensure accuracy of information and conformance to governing agency regulations.,1,,0.7079,0.8070,0.7302,0.8848,labor_value_percentile,1110219755,0.9000,0.5900,0.0900,0,0.0900,0.8500,0.9500,0.4300,0.4085,0.8300,0.7600,1,0.2200,0.8100,1.9500,2.6900,banking_fintech,0.8300,per_item,0.3900,0.5700,0,jev-1.13.0,req_01a0d5ec2d647f7c8ac8c92333e66d3e
15,68,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Authorize payment of invoices or return of merchandise.,1,,0.7023,0.7885,0.7809,0.8524,labor_value_percentile,849098619,0.6500,0.8500,0.0700,0.0067,0.1100,0.4400,0.9500,0.6300,0.5985,0.8800,0.8000,0.9400,0.0700,0.6000,1.3000,2.5300,logistics_supply_chain,0.7900,not_outsourced,0.7600,0.4300,0,jev-1.13.0,req_01a0d5da0c917c0fb6df10220cde1215
